Age,EstimatedSalary,Purchased
21,18000,0
22,19000,0
23,20000,0
24,21000,0
25,22000,0
26,23000,0
27,24000,0
28,25000,0
29,26000,0
30,27000,0
31,28000,0
32,29000,0
33,30000,0
34,31000,0
35,32000,0
36,33000,0
37,34000,0
38,35000,0
39,36000,0
40,37000,0
41,38000,0
42,39000,0
43,40000,0
44,42000,0
45,44000,1
46,46000,1
47,48000,1
48,50000,1
49,52000,1
50,54000,1
51,56000,1
52,58000,1
53,60000,1
54,62000,1
55,64000,1
56,66000,1
57,68000,1
58,70000,1
59,72000,1
60,74000,1
22,30000,0
24,32000,0
26,34000,0
28,36000,0
30,38000,0
32,40000,0
34,42000,0
36,44000,0
38,46000,0
40,48000,0
42,50000,1
44,52000,1
46,54000,1
48,56000,1
50,58000,1
52,60000,1
54,62000,1
56,64000,1
58,66000,1
60,68000,1
23,25000,0
25,27000,0
27,29000,0
29,31000,0
31,33000,0
33,35000,0
35,37000,0
37,39000,0
39,41000,0
41,43000,0
43,45000,1
45,47000,1
47,49000,1
49,51000,1
51,53000,1
53,55000,1
55,57000,1
57,59000,1
59,61000,1
61,63000,1
