Age,EstimatedSalary,Purchased
55,39514,0
26,92942,0
50,27249,0
55,101044,0
42,100746,0
43,60326,0
59,76628,0
38,83376,0
21,55534,0
30,55451,0
22,35271,0
25,22431,0
52,110740,1
59,26883,0
24,56733,1
57,52410,0
29,109184,0
33,95528,0
30,101484,0
48,93695,0
41,23156,0
57,76118,0
29,101353,0
53,106620,0
32,83422,0
42,31255,0
54,27444,0
42,101165,0
42,67640,0
44,40788,0
52,47986,0
32,69320,0
19,80373,0
45,99491,0
48,68064,0
21,35414,0
41,119044,0
45,72700,0
18,94257,0
50,94380,0
27,49493,0
39,36235,0
21,50819,0
25,83040,0
39,20991,0
35,119652,0
40,96608,0
48,53512,0
33,43867,0
34,21517,1
38,46618,0
19,38598,0
50,107359,0
18,57108,0
40,61822,0
28,34141,0
27,48304,0
58,89531,0
23,103619,0
22,115701,0
19,107790,0
41,41794,0
40,27108,0
30,50800,0
28,97643,0
59,96859,0
53,78324,0
45,111431,0
25,24603,0
38,29154,0
46,29437,0
52,82643,0
20,81936,0
24,55838,1
36,53299,0
27,53599,0
47,89095,0
26,43232,0
49,99802,0
21,29449,0
56,78000,0
43,21182,0
34,98772,0
43,39821,0
43,68469,1
51,97164,1
49,103263,0
19,71226,0
57,111166,0
35,45757,0
45,49335,0
29,38887,0
36,30702,0
56,36327,1
26,82651,0
33,83997,0
45,30058,0
39,62229,0
31,86010,0
50,82680,0
47,100299,0
43,51723,0
58,109020,0
39,108879,0
29,76152,0
42,51368,0
27,80590,0
23,43620,0
23,54109,0
21,24303,0
56,111386,0
25,45248,0
58,23852,1
41,92230,0
56,111316,0
58,35511,0
20,104522,0
20,82515,0
28,31942,0
36,21487,0
32,46560,0
44,70995,0
27,23062,0
38,65923,0
26,37844,0
38,116642,0
45,99016,0
18,81319,0
39,60093,0
51,20467,0
52,85551,0
32,116244,0
56,49161,0
26,68693,0
51,93081,1
21,53049,0
55,62660,0
45,38893,0
59,41505,0
31,104315,0
56,89498,0
35,22622,0
28,63191,0
50,40778,0
22,39393,0
36,74606,0
24,42811,0
52,61172,0
33,20930,0
37,68271,0
46,113583,0
50,51064,1
34,109618,0
51,42335,0
22,64897,0
34,48361,0
49,78501,0
59,88245,0
28,41359,0
37,98102,0
37,30381,0
50,116094,0
19,21474,0
44,36437,0
38,72293,0
21,101048,0
48,51728,0
51,60321,0
39,61847,0
37,43997,0
28,115098,0
43,92954,0
26,76975,0
22,98610,0
42,78110,0
48,29512,0
32,69091,0
47,22995,0
26,55125,0
43,63333,1
48,58939,0
44,66112,0
48,42126,0
47,104761,0
37,54632,0
57,57586,0
46,116051,0
53,74979,0
50,29654,0
55,119509,1
25,110609,0
36,114447,0
48,31807,0
32,35579,0
48,80774,1
35,51371,0
33,73500,0
49,84353,0
25,71843,0
38,60920,0
29,27758,0
30,36038,1
57,30646,1
22,71229,0
46,80409,0
49,69433,0
46,33200,0
43,43127,0
54,27066,0
50,88362,1
50,89236,0
45,105306,0
51,96746,0
23,29766,0
41,24085,0
27,57814,0
20,70318,0
45,96259,0
36,115492,0
25,59228,0
48,80368,0
43,56303,0
51,56485,0
43,73193,0
22,57840,0
39,84606,0
48,90646,0
33,56022,0
50,110706,1
18,119548,0
39,34260,0
57,83725,0
41,78512,0
52,78829,0
40,44291,0
57,88898,0
40,79495,0
50,91826,0
41,109138,0
24,32308,0
30,69057,0
50,97898,0
30,40507,0
50,66487,0
54,56262,0
50,53083,0
23,45146,0
30,81080,0
28,68008,0
19,49934,0
45,32463,0
43,43558,0
46,26548,0
42,23591,0
50,61200,1
50,101979,0
25,84172,0
55,27620,0
46,64904,0
29,109932,0
46,49335,0
58,78321,0
18,31250,0
36,65610,0
57,44785,0
51,72871,0
34,23482,0
46,39721,0
39,32430,0
38,56658,0
57,96816,0
41,41660,0
31,39708,0
54,51475,0
35,91074,0
36,90251,0
22,58036,0
29,82997,0
23,56088,0
59,95859,0
24,68598,0
23,26076,0
26,96292,0
32,116494,0
45,77832,0
34,27363,0
20,44179,0
25,48698,0
35,20952,0
40,53577,1
56,71934,0
20,53628,0
55,68105,0
36,72160,0
47,93201,0
23,23927,0
58,28946,0
44,90753,0
20,75756,0
47,53990,0
31,108790,0
48,50271,0
28,78292,0
49,53601,0
55,94334,0
20,88353,0
58,81863,0
52,89361,0
59,84339,0
43,78428,0
55,46684,0
43,111101,0
43,111016,0
41,61253,0
44,37040,0
50,68482,0
44,113606,0
21,67422,0
33,90505,0
20,93723,0
50,89591,0
52,100890,0
25,85488,0
31,97096,0
55,62945,0
46,107806,0
31,114531,0
21,48436,0
56,111623,0
42,39749,0
23,41469,0
40,64960,0
36,85831,0
41,31587,0
43,47142,0
55,39466,0
35,112175,0
28,88847,0
32,69154,0
50,25578,0
25,45377,0
24,42097,1
28,64381,0
20,60692,0
31,86914,0
18,32826,0
59,52841,0
50,116222,0
44,34686,0
35,98676,1
31,95558,0
31,57330,0
36,85720,0
23,111139,1
52,20971,0
45,59783,1
32,85194,0
46,58643,0
21,22439,0
33,56470,1
52,35428,0
30,43282,0
22,113150,0
56,47956,0
30,47886,0
26,76345,0
31,40254,0
51,50515,0
30,58195,0
41,43991,0
50,40378,0
32,34907,0
40,36694,0
41,48250,0
36,39901,0
25,33810,0
56,71536,0
29,38681,0
48,58736,0
54,83301,0
32,65390,0
41,22160,0
21,81607,0
42,28890,0
28,116648,0
38,104348,0
58,43661,0
25,29811,0
59,74903,0
49,30675,0
20,85346,0
42,119194,0
19,28377,0
51,33121,0
39,91923,0
54,119547,0
40,22626,0
26,117469,0
56,31514,0
20,37375,0
46,74382,0
39,113243,0
37,20380,0
46,47451,0
46,96707,0
58,30677,0
57,111474,0
25,113198,0
38,32435,0
53,38439,0
23,56094,0
28,77456,0
38,89399,0
23,40478,0
